geneID	transcriptID	external_gene_name	chromosome_name	start_position	coef	p	p_adj
ENSMUSG00000086503	ENSMUST00000127786,ENSMUST00000153883	Xist	X	102503972	-1.89893021643017	4.71408161066148e-43	1.1431176497693e-38
ENSMUSG00000056673	ENSMUST00000055032,ENSMUST00000185542,ENSMUST00000186696,ENSMUST00000186726,ENSMUST00000187296,ENSMUST00000188910,ENSMUST00000189069,ENSMUST00000189626,ENSMUST00000189955	Kdm5d	Y	897788	1.89954349396941	2.05877801136279e-42	1.66411026658455e-38
ENSMUSG00000069049	ENSMUST00000091197,ENSMUST00000134820,ENSMUST00000137006,ENSMUST00000139083,ENSMUST00000148961,ENSMUST00000154556	Eif2s3y	Y	1010543	1.90673715088187	1.48219102317243e-42	1.66411026658455e-38
ENSMUSG00000069045	ENSMUST00000091190,ENSMUST00000187596,ENSMUST00000188182,ENSMUST00000188484	Ddx3y	Y	1260771	1.88965381636505	3.78419868158321e-41	2.29407584574278e-37
ENSMUSG00000068457	ENSMUST00000069309,ENSMUST00000133976,ENSMUST00000137048,ENSMUST00000139365,ENSMUST00000143286,ENSMUST00000143958,ENSMUST00000150715,ENSMUST00000154004,ENSMUST00000154527,ENSMUST00000154666,ENSMUST00000157073,ENSMUST00000185837	Uty	Y	1096861	1.8788366980683	2.98076602358135e-39	1.44561190611649e-35
ENSMUSG00000099876	ENSMUST00000188485	Gm29650	Y	1048393	1.86709954142572	1.20875933857047e-33	4.88520086683254e-30
ENSMUSG00000035150	ENSMUST00000050328,ENSMUST00000113922,ENSMUST00000127963	Eif2s3x	X	93232313	-1.80609345046446	8.47795318295027e-28	2.93688409619087e-24
ENSMUSG00000037369	ENSMUST00000044484,ENSMUST00000052368,ENSMUST00000130978,ENSMUST00000155161,ENSMUST00000223885,ENSMUST00000224084,ENSMUST00000224255,ENSMUST00000225336,ENSMUST00000225738,ENSMUST00000226046	Kdm6a	X	18028814	-1.58419502383534	5.85339680597585e-17	1.77423773935135e-13
ENSMUSG00000087174	ENSMUST00000123850,ENSMUST00000127409,ENSMUST00000127533,ENSMUST00000135114,ENSMUST00000136211,ENSMUST00000138137,ENSMUST00000138460,ENSMUST00000140954,ENSMUST00000141136,ENSMUST00000144366,ENSMUST00000144774,ENSMUST00000144849,ENSMUST00000146227,ENSMUST00000147478,ENSMUST00000154334,ENSMUST00000156974	5530601H04Rik	X	104080803	-1.40457235871721	1.19101373780171e-12	3.20898801421707e-09
ENSMUSG00000069053	ENSMUST00000115894,ENSMUST00000190013	Uba1y	Y	818649	1.36777208935435	2.40062107144997e-12	5.82126603615903e-09
ENSMUSG00000101059	ENSMUST00000084813	Gm4017	Y	1268548	1.39852020674772	1.02592546182748e-11	2.26160604762313e-08
ENSMUSG00000025332	ENSMUST00000082177,ENSMUST00000112584,ENSMUST00000112588,ENSMUST00000154938,ENSMUST00000155793,ENSMUST00000156114	Kdm5c	X	151016016	-1.40879536472086	3.30509600324845e-11	6.67877274856432e-08
ENSMUSG00000000787	ENSMUST00000000804,ENSMUST00000123096,ENSMUST00000149639,ENSMUST00000153611,ENSMUST00000153851	Ddx3x	X	13147209	-1.23076214641822	5.32484901937816e-09	9.93248183622315e-06
ENSMUSG00000031226	ENSMUST00000033577,ENSMUST00000119477,ENSMUST00000125343	Pbdc1	X	104123362	-1.15109676602282	3.26621229404893e-08	5.65731299417089e-05
ENSMUSG00000086370	ENSMUST00000123841,ENSMUST00000125419,ENSMUST00000130063,ENSMUST00000145803,ENSMUST00000156211,ENSMUST00000156240,ENSMUST00000236107,ENSMUST00000236231,ENSMUST00000237053,ENSMUST00000237368,ENSMUST00000237493,ENSMUST00000238083	Ftx	X	102604513	-1.11365059386989	1.60612841936726e-07	0.000259646720274912
ENSMUSG00000097571	ENSMUST00000181020,ENSMUST00000182447,ENSMUST00000182486,ENSMUST00000183027,ENSMUST00000234103,ENSMUST00000234173,ENSMUST00000234244,ENSMUST00000234690,ENSMUST00000234815,ENSMUST00000235019,ENSMUST00000235041	Jpx	X	102537158	-1.04689083781992	2.52593566921487e-07	0.000382821337767446
ENSMUSG00000100968	ENSMUST00000189146	Gm2098	Y	670179	1.10772296970022	3.29514809294151e-07	0.000470023800621992
ENSMUSG00000099759	ENSMUST00000189625	1700030C10Rik	12	20854382	-1.10342936227259	5.50113727451925e-07	0.000741094876498985
ENSMUSG00000056457	ENSMUST00000099805,ENSMUST00000222139,ENSMUST00000222621,ENSMUST00000223098,ENSMUST00000223180	Prl2c3	13	12805705	-1.01111379751739	3.94317836290246e-06	0.0050325332695801
ENSMUSG00000107336	ENSMUST00000202351	Gm43461	5	147364548	-0.969062208443462	7.9199422038068e-06	0.00960253392500556
ENSMUSG00000096768	ENSMUST00000177591,ENSMUST00000177671,ENSMUST00000179077,ENSMUST00000179483,ENSMUST00000238238,ENSMUST00000238471,ENSMUST00000238758	Erdr1y	Y	90796007	-0.953521059269362	1.80434244884967e-05	0.0208350000200742
ENSMUSG00000041596	ENSMUST00000044683,ENSMUST00000173220,ENSMUST00000173766,ENSMUST00000190796	Nlrp5-ps	7	14297224	-0.974688588868998	2.04063401146545e-05	0.0224924246109208
ENSMUSG00000079092	ENSMUST00000110594,ENSMUST00000220558,ENSMUST00000221612,ENSMUST00000221627,ENSMUST00000223124	Prl2c2	13	13170710	-0.935412979296862	5.23994119103981e-05	0.0552449278006628
